filename,dataset,emotion,actor,filepath
16a01Ec.wav,EmoDB,E,16,processed_emodb\16a01Ec.wav
08a01Fd.wav,EmoDB,F,8,processed_emodb\08a01Fd.wav
13a04Ta.wav,EmoDB,T,13,processed_emodb\13a04Ta.wav
14b03Ta.wav,EmoDB,T,14,processed_emodb\14b03Ta.wav
13a05Tc.wav,EmoDB,T,13,processed_emodb\13a05Tc.wav
14a04Tb.wav,EmoDB,T,14,processed_emodb\14a04Tb.wav
11b01Nc.wav,EmoDB,N,11,processed_emodb\11b01Nc.wav
03b01Fa.wav,EmoDB,F,3,processed_emodb\03b01Fa.wav
08a02Na.wav,EmoDB,N,8,processed_emodb\08a02Na.wav
15b03Lc.wav,EmoDB,L,15,processed_emodb\15b03Lc.wav
08a05Lc.wav,EmoDB,L,8,processed_emodb\08a05Lc.wav
09b09Nd.wav,EmoDB,N,9,processed_emodb\09b09Nd.wav
16b03La.wav,EmoDB,L,16,processed_emodb\16b03La.wav
11b09Td.wav,EmoDB,T,11,processed_emodb\11b09Td.wav
11b01Eb.wav,EmoDB,E,11,processed_emodb\11b01Eb.wav
11a02Fb.wav,EmoDB,F,11,processed_emodb\11a02Fb.wav
13b09Ab.wav,EmoDB,A,13,processed_emodb\13b09Ab.wav
03a05Wb.wav,EmoDB,W,3,processed_emodb\03a05Wb.wav
14a01Na.wav,EmoDB,N,14,processed_emodb\14a01Na.wav
14b10Nb.wav,EmoDB,N,14,processed_emodb\14b10Nb.wav
13b09Wa.wav,EmoDB,W,13,processed_emodb\13b09Wa.wav
15b01Wc.wav,EmoDB,W,15,processed_emodb\15b01Wc.wav
09a01Wb.wav,EmoDB,W,9,processed_emodb\09a01Wb.wav
13b02Fb.wav,EmoDB,F,13,processed_emodb\13b02Fb.wav
13a01Ac.wav,EmoDB,A,13,processed_emodb\13a01Ac.wav
12b01Wa.wav,EmoDB,W,12,processed_emodb\12b01Wa.wav
08a07Na.wav,EmoDB,N,8,processed_emodb\08a07Na.wav
16a01Nc.wav,EmoDB,N,16,processed_emodb\16a01Nc.wav
13b02Nb.wav,EmoDB,N,13,processed_emodb\13b02Nb.wav
13a02Fa.wav,EmoDB,F,13,processed_emodb\13a02Fa.wav
13a01Wb.wav,EmoDB,W,13,processed_emodb\13a01Wb.wav
10b02La.wav,EmoDB,L,10,processed_emodb\10b02La.wav
12b10Wa.wav,EmoDB,W,12,processed_emodb\12b10Wa.wav
09a01Ea.wav,EmoDB,E,9,processed_emodb\09a01Ea.wav
13b09Fc.wav,EmoDB,F,13,processed_emodb\13b09Fc.wav
08b10Fd.wav,EmoDB,F,8,processed_emodb\08b10Fd.wav
12a01Nb.wav,EmoDB,N,12,processed_emodb\12a01Nb.wav
14a07Fd.wav,EmoDB,F,14,processed_emodb\14a07Fd.wav
11b09Ad.wav,EmoDB,A,11,processed_emodb\11b09Ad.wav
03b10Na.wav,EmoDB,N,3,processed_emodb\03b10Na.wav
08b09Lc.wav,EmoDB,L,8,processed_emodb\08b09Lc.wav
03a04Ta.wav,EmoDB,T,3,processed_emodb\03a04Ta.wav
08a04Nc.wav,EmoDB,N,8,processed_emodb\08a04Nc.wav
15a05Eb.wav,EmoDB,E,15,processed_emodb\15a05Eb.wav
14b09Ea.wav,EmoDB,E,14,processed_emodb\14b09Ea.wav
08b01Aa.wav,EmoDB,A,8,processed_emodb\08b01Aa.wav
16b09Ab.wav,EmoDB,A,16,processed_emodb\16b09Ab.wav
09a01Nb.wav,EmoDB,N,9,processed_emodb\09a01Nb.wav
11a04Fd.wav,EmoDB,F,11,processed_emodb\11a04Fd.wav
11a07Ta.wav,EmoDB,T,11,processed_emodb\11a07Ta.wav
14a05Wb.wav,EmoDB,W,14,processed_emodb\14a05Wb.wav
15a07Nc.wav,EmoDB,N,15,processed_emodb\15a07Nc.wav
15b01Lb.wav,EmoDB,L,15,processed_emodb\15b01Lb.wav
11a02Ec.wav,EmoDB,E,11,processed_emodb\11a02Ec.wav
10b09Ad.wav,EmoDB,A,10,processed_emodb\10b09Ad.wav
16b03Fd.wav,EmoDB,F,16,processed_emodb\16b03Fd.wav
12b10Ld.wav,EmoDB,L,12,processed_emodb\12b10Ld.wav
09a07Ta.wav,EmoDB,T,9,processed_emodb\09a07Ta.wav
16a04Fa.wav,EmoDB,F,16,processed_emodb\16a04Fa.wav
14b02Fb.wav,EmoDB,F,14,processed_emodb\14b02Fb.wav
15b03Wb.wav,EmoDB,W,15,processed_emodb\15b03Wb.wav
15b02Tc.wav,EmoDB,T,15,processed_emodb\15b02Tc.wav
14a01Wa.wav,EmoDB,W,14,processed_emodb\14a01Wa.wav
09b03Lb.wav,EmoDB,L,9,processed_emodb\09b03Lb.wav
12b09Ac.wav,EmoDB,A,12,processed_emodb\12b09Ac.wav
12b02Na.wav,EmoDB,N,12,processed_emodb\12b02Na.wav
12b01Ta.wav,EmoDB,T,12,processed_emodb\12b01Ta.wav
12b02Fb.wav,EmoDB,F,12,processed_emodb\12b02Fb.wav
12a04Wc.wav,EmoDB,W,12,processed_emodb\12a04Wc.wav
08b02Ff.wav,EmoDB,F,8,processed_emodb\08b02Ff.wav
12b10Ac.wav,EmoDB,A,12,processed_emodb\12b10Ac.wav
13a02Nc.wav,EmoDB,N,13,processed_emodb\13a02Nc.wav
13a01Fd.wav,EmoDB,F,13,processed_emodb\13a01Fd.wav
10b03La.wav,EmoDB,L,10,processed_emodb\10b03La.wav
13a01Nb.wav,EmoDB,N,13,processed_emodb\13a01Nb.wav
14a04Wb.wav,EmoDB,W,14,processed_emodb\14a04Wb.wav
13a05Wc.wav,EmoDB,W,13,processed_emodb\13a05Wc.wav
08b03Tc.wav,EmoDB,T,8,processed_emodb\08b03Tc.wav
16b10Lb.wav,EmoDB,L,16,processed_emodb\16b10Lb.wav
15b02Aa.wav,EmoDB,A,15,processed_emodb\15b02Aa.wav
14a05Lb.wav,EmoDB,L,14,processed_emodb\14a05Lb.wav
16a02Tc.wav,EmoDB,T,16,processed_emodb\16a02Tc.wav
