filepath,emotion,features
processed_emodb\16a01Ec.wav,E,"[-199.4928741455078, 95.52881622314453, -55.45964813232422, 37.569862365722656, -14.263049125671387, 16.124801635742188, -25.76058006286621, -9.875568389892578, -9.172555923461914, -6.935327529907227, 1.0794168710708618, -0.9829088449478149, -4.256462097167969, 104.7889633178711, 54.618011474609375, 39.89096450805664, 36.722206115722656, 25.035892486572266, 20.65833282470703, 17.24040412902832, 19.260231018066406, 11.747440338134766, 15.287707328796387, 9.973305702209473, 7.4385199546813965, 11.259599685668945, 0.37032797932624817, 0.3366970121860504, 0.3364494740962982, 0.37335941195487976, 0.3655078113079071, 0.3706015348434448, 0.31376785039901733, 0.3347678482532501, 0.37931588292121887, 0.3997924327850342, 0.44969460368156433, 0.4211721420288086, 0.33049872517585754, 0.31598570942878723, 0.3184073269367218, 0.35316064953804016, 0.33206161856651306, 0.3681376278400421, 0.32503989338874817, 0.32262900471687317, 0.3430711328983307, 0.34168803691864014, 0.34803488850593567, 0.3474068343639374, 1844.6196203567263, 979.6881028505661, 3432.9052734375, 1579.646403697829, 0.08525855654761905, 0.09422461838964664]"
processed_emodb\08a01Fd.wav,F,"[-239.4112091064453, 85.0867691040039, -16.915790557861328, 41.84884262084961, -9.001233100891113, 19.1198787689209, -7.169435024261475, 8.469165802001953, -1.6156973838806152, 2.1685476303100586, 4.948518753051758, 0.970124363899231, 8.876886367797852, 153.72067260742188, 56.06753921508789, 43.53504943847656, 28.28544807434082, 32.67950439453125, 15.488144874572754, 22.198925018310547, 12.055071830749512, 14.630668640136719, 15.960351943969727, 9.343216896057129, 10.481232643127441, 10.35568904876709, 0.47497260570526123, 0.4499046206474304, 0.43402981758117676, 0.4860016107559204, 0.5327808856964111, 0.49586907029151917, 0.42291969060897827, 0.3542729914188385, 0.3067808449268341, 0.2956652343273163, 0.3571487367153168, 0.471261203289032, 0.2815554440021515, 0.287111759185791, 0.36735793948173523, 0.3996001183986664, 0.4164675772190094, 0.3445204198360443, 0.32348141074180603, 0.28666043281555176, 0.2699797451496124, 0.26554611325263977, 0.2727648913860321, 0.3286847770214081, 1664.9909478351804, 1109.5237910416126, 3251.621337890625, 1620.619606644979, 0.0751220703125, 0.11391268519680875]"
processed_emodb\13a04Ta.wav,T,"[-209.62496948242188, 115.00711059570312, -11.721663475036621, 58.098331451416016, -7.152895927429199, 32.789634704589844, -2.3537003993988037, 8.762784957885742, -2.6740362644195557, 0.02576313354074955, 10.996016502380371, 2.7257680892944336, -0.4675917327404022, 111.10648345947266, 36.128299713134766, 28.387935638427734, 27.361722946166992, 24.88969612121582, 15.956277847290039, 16.957063674926758, 10.498483657836914, 10.402402877807617, 11.336958885192871, 9.283516883850098, 7.383586883544922, 13.894818305969238, 0.39765334129333496, 0.42478346824645996, 0.46385228633880615, 0.5085434317588806, 0.6037439107894897, 0.7526670098304749, 0.7542926073074341, 0.6384412050247192, 0.5213364958763123, 0.43576738238334656, 0.38580483198165894, 0.36424148082733154, 0.3411358892917633, 0.36288008093833923, 0.38635382056236267, 0.37640273571014404, 0.32958531379699707, 0.2993601858615875, 0.27695903182029724, 0.3443167805671692, 0.3655463755130768, 0.3589301109313965, 0.33935946226119995, 0.3224650025367737, 1060.8775482715112, 923.4882910836599, 2160.8481802591464, 1946.4643389566584, 0.015926702235772357, 0.01724543316523117]"
processed_emodb\14b03Ta.wav,T,"[-220.29653930664062, 119.16991424560547, -4.018867015838623, 51.95631408691406, -10.139118194580078, 36.21107482910156, -1.1449016332626343, 6.9922709465026855, -5.696326732635498, -0.634454071521759, 11.016444206237793, -1.6967172622680664, 8.248679161071777, 114.07325744628906, 46.271183013916016, 29.74401092529297, 27.007991790771484, 27.62900733947754, 21.02432632446289, 19.653839111328125, 12.741485595703125, 12.08431339263916, 11.431294441223145, 9.520370483398438, 10.25686264038086, 8.697566032409668, 0.4556284248828888, 0.4423549771308899, 0.4555465579032898, 0.535808265209198, 0.6883999705314636, 0.7159507274627686, 0.6523219347000122, 0.5613405108451843, 0.4843190014362335, 0.42379051446914673, 0.3949204981327057, 0.409010112285614, 0.33141306042671204, 0.33573684096336365, 0.3443892002105713, 0.3379552364349365, 0.34061241149902344, 0.3007650375366211, 0.3328794538974762, 0.3633459210395813, 0.36681482195854187, 0.35199254751205444, 0.32591885328292847, 0.30366915464401245, 952.838876395155, 888.1784600129648, 2004.9047542523733, 1860.7132214816709, 0.0061272085970464135, 0.0070298457352089335]"
processed_emodb\13a05Tc.wav,T,"[-218.9564971923828, 116.1583251953125, -21.744436264038086, 61.9874382019043, -11.605570793151855, 33.93916702270508, -3.8737857341766357, 9.024004936218262, -8.295381546020508, 2.4704549312591553, 8.300192832946777, 4.173590183258057, 4.8379669189453125, 80.09141540527344, 46.417903900146484, 27.72513198852539, 28.647850036621094, 26.48647117614746, 15.810412406921387, 17.607040405273438, 13.913661003112793, 12.6959810256958, 10.160964965820312, 8.892766952514648, 8.437701225280762, 13.988676071166992, 0.3456073999404907, 0.39000892639160156, 0.4597311317920685, 0.5351595282554626, 0.6241977214813232, 0.6732247471809387, 0.5888910889625549, 0.5132796168327332, 0.4968299865722656, 0.4201756715774536, 0.3505423963069916, 0.31301775574684143, 0.3037252128124237, 0.3051998019218445, 0.3261910080909729, 0.32995712757110596, 0.32286959886550903, 0.3473118245601654, 0.32935190200805664, 0.3494711220264435, 0.3747851848602295, 0.3402847647666931, 0.3071402907371521, 0.2721371650695801, 1434.263469364577, 1143.493208580504, 2745.146942138672, 1882.7730225072305, 0.052462259928385414, 0.07745071433597314]"
processed_emodb\14a04Tb.wav,T,"[-212.78822326660156, 130.3675994873047, -15.36428451538086, 56.70241928100586, -12.468287467956543, 38.45258712768555, -3.233138084411621, 4.787313938140869, -2.6256206035614014, -2.8700873851776123, 12.937804222106934, -3.4502370357513428, 4.466052532196045, 106.09220123291016, 46.467872619628906, 30.563405990600586, 27.488901138305664, 29.930295944213867, 18.935178756713867, 19.029266357421875, 12.50986099243164, 9.973705291748047, 11.043216705322266, 14.273038864135742, 10.71640682220459, 8.285956382751465, 0.3557584285736084, 0.3906744420528412, 0.4566255509853363, 0.5875263810157776, 0.7300653457641602, 0.6912880539894104, 0.6078247427940369, 0.5365699529647827, 0.4338531196117401, 0.37791478633880615, 0.37438347935676575, 0.3573940694332123, 0.2909482419490814, 0.29825159907341003, 0.3150070309638977, 0.3323018252849579, 0.31170332431793213, 0.28444400429725647, 0.32308804988861084, 0.3617875277996063, 0.3292989134788513, 0.3365032374858856, 0.3271295130252838, 0.3024599850177765, 1146.1609508086478, 975.6001069314435, 2333.324432373047, 1872.8050697926185, 0.011174519856770834, 0.009958491253548375]"
processed_emodb\11b01Nc.wav,N,"[-201.1931610107422, 138.81507873535156, -17.433624267578125, 74.3826904296875, -0.8532228469848633, 21.118080139160156, -3.8944594860076904, 3.772834062576294, -7.672336578369141, -3.200343370437622, -7.337488651275635, -11.149200439453125, 5.674793243408203, 81.96721649169922, 57.01909255981445, 37.216896057128906, 27.192426681518555, 27.81324005126953, 21.7982120513916, 17.79121208190918, 14.137027740478516, 14.160975456237793, 10.141995429992676, 11.984567642211914, 9.533271789550781, 9.49012565612793, 0.41021743416786194, 0.3987269699573517, 0.3697437345981598, 0.30688413977622986, 0.327646940946579, 0.363239049911499, 0.42125198245048523, 0.4523898661136627, 0.4122939109802246, 0.4088236093521118, 0.4216512143611908, 0.4022989273071289, 0.31178849935531616, 0.3134039640426636, 0.3446146249771118, 0.3035513162612915, 0.32570838928222656, 0.33115261793136597, 0.3455297648906708, 0.35243409872055054, 0.32979869842529297, 0.3211425542831421, 0.32884296774864197, 0.31494614481925964, 1273.7210746086116, 1014.375451674525, 2515.459442138672, 1691.8074563009127, 0.034820556640625, 0.049710668069813856]"
processed_emodb\03b01Fa.wav,F,"[-195.77206420898438, 97.05037689208984, -31.81839942932129, 63.25105667114258, -15.133090019226074, 19.48679542541504, -24.947404861450195, 5.043738842010498, -10.15667724609375, -10.453537940979004, -0.15980076789855957, -10.022446632385254, 2.380153179168701, 98.2383041381836, 46.413455963134766, 33.413726806640625, 28.899635314941406, 31.059799194335938, 16.840431213378906, 19.86127281188965, 12.64279842376709, 12.915445327758789, 14.930920600891113, 12.321002006530762, 9.522761344909668, 12.203083992004395, 0.28317052125930786, 0.28091633319854736, 0.3294943869113922, 0.3347674310207367, 0.34732481837272644, 0.35277074575424194, 0.375187486410141, 0.3927617073059082, 0.4681624174118042, 0.532128632068634, 0.43609124422073364, 0.33379119634628296, 0.3016943037509918, 0.3115537166595459, 0.3601306974887848, 0.35329103469848633, 0.3644147515296936, 0.3745097219944, 0.3806973695755005, 0.3505175709724426, 0.3489552438259125, 0.38403335213661194, 0.3487113118171692, 0.3147973418235779, 1750.9468847684577, 1162.9330152750606, 3298.0633903952207, 1821.8465510285216, 0.06278722426470588, 0.08261754717860847]"
processed_emodb\08a02Na.wav,N,"[-242.15672302246094, 110.71956634521484, -0.9755020141601562, 50.5103645324707, -6.286622524261475, 21.600650787353516, -15.430238723754883, 4.583552360534668, -12.744096755981445, -8.43985366821289, 1.851205825805664, -5.32331657409668, 0.2472633421421051, 115.65269470214844, 41.394020080566406, 31.605106353759766, 29.39794158935547, 33.58381271362305, 15.775833129882812, 29.23807716369629, 13.4338960647583, 13.01551342010498, 16.192724227905273, 9.275152206420898, 8.548941612243652, 9.986215591430664, 0.3401954770088196, 0.43597131967544556, 0.4555346667766571, 0.45373672246932983, 0.43122991919517517, 0.38138115406036377, 0.36541855335235596, 0.3856283724308014, 0.4649752676486969, 0.5012447834014893, 0.5197755694389343, 0.39858871698379517, 0.3324049711227417, 0.39904406666755676, 0.3858773112297058, 0.38044118881225586, 0.39637893438339233, 0.40431028604507446, 0.3994435966014862, 0.36611369252204895, 0.3628171682357788, 0.3334621787071228, 0.35935112833976746, 0.3158324360847473, 1263.8359794604592, 878.6977285723941, 2485.29052734375, 1793.6707282979314, 0.03615159254807692, 0.04590725676938729]"
processed_emodb\15b03Lc.wav,L,"[-213.65321350097656, 137.73255920410156, -18.019914627075195, 56.899723052978516, -16.707481384277344, 25.745054244995117, 8.501916885375977, 11.674546241760254, -7.476228713989258, -2.5160279273986816, 4.500985145568848, 2.5191941261291504, 5.231395244598389, 99.2352066040039, 52.85251235961914, 30.405149459838867, 27.123201370239258, 28.64885711669922, 20.818082809448242, 14.93917465209961, 12.452717781066895, 10.579468727111816, 12.797614097595215, 12.388941764831543, 8.635579109191895, 6.810755729675293, 0.40645021200180054, 0.460846483707428, 0.5311642289161682, 0.5630354881286621, 0.5374273657798767, 0.47558704018592834, 0.4528346359729767, 0.48314496874809265, 0.530575156211853, 0.5263109803199768, 0.42622992396354675, 0.3858860731124878, 0.3078312277793884, 0.3133617043495178, 0.3470223844051361, 0.34059014916419983, 0.30390772223472595, 0.31676220893859863, 0.3157661557197571, 0.3195829689502716, 0.35110974311828613, 0.33376869559288025, 0.2943071722984314, 0.3090938627719879, 1289.831682404, 842.90665161638, 2639.0439576740505, 1541.7516541225452, 0.03266848793512658, 0.03857753541387674]"
