filepath,emotion,features
processed_ravdess\03-01-03-01-01-01-09.wav,3,"[-320.4857482910156, 102.03131866455078, 15.39442253112793, 22.634138107299805, 24.678136825561523, 8.772971153259277, -0.33069509267807007, -1.4636704921722412, -6.707752704620361, 2.5441884994506836, 1.804964542388916, 3.7491531372070312, 5.489699363708496, 152.3612823486328, 65.67475128173828, 26.779590606689453, 16.74290657043457, 13.873859405517578, 15.067320823669434, 12.115278244018555, 12.039192199707031, 16.783239364624023, 7.5250325202941895, 6.8394269943237305, 8.303194046020508, 7.021660327911377, 0.5016252398490906, 0.5374439358711243, 0.5423969626426697, 0.5807669162750244, 0.6149271130561829, 0.6466319561004639, 0.6593606472015381, 0.6494786143302917, 0.5909530520439148, 0.575130045413971, 0.5975939631462097, 0.5303795337677002, 0.32855692505836487, 0.35109326243400574, 0.3757944703102112, 0.3879244327545166, 0.3685067296028137, 0.3774740397930145, 0.3398714065551758, 0.33571678400039673, 0.3418557643890381, 0.31629279255867004, 0.30141928791999817, 0.2981191575527191, 994.7738446632961, 808.4221706871756, 1620.5230712890625, 1896.7354013522024, 0.017384847005208332, 0.027039314759319633]"
processed_ravdess\03-01-03-01-02-01-23.wav,3,"[-365.70037841796875, 52.30513000488281, -0.02646593376994133, 10.577127456665039, 11.870022773742676, 1.1302814483642578, 0.33185434341430664, -1.9058398008346558, -5.493264675140381, 2.6666743755340576, 3.9547014236450195, 1.0182865858078003, 3.593517303466797, 198.76072692871094, 59.983463287353516, 25.79570770263672, 18.39406394958496, 15.212193489074707, 19.588502883911133, 14.651338577270508, 14.030948638916016, 17.619571685791016, 9.843040466308594, 10.37617301940918, 9.378079414367676, 10.793817520141602, 0.5663168430328369, 0.6381648182868958, 0.7030054330825806, 0.741923987865448, 0.7408868074417114, 0.7731587290763855, 0.7641426920890808, 0.7962931394577026, 0.7708752751350403, 0.649782657623291, 0.5400574207305908, 0.5057007670402527, 0.32566091418266296, 0.33294904232025146, 0.3391819894313812, 0.3519307076931, 0.3661769926548004, 0.36474061012268066, 0.34866705536842346, 0.29800915718078613, 0.28770917654037476, 0.3450045883655548, 0.3406698405742645, 0.30499574542045593, 903.7765610469701, 1256.3191014062593, 1533.394775390625, 2277.579275332184, 0.032069614955357144, 0.06219501381115363]"
processed_ravdess\03-01-03-01-01-01-13.wav,3,"[-395.62274169921875, 67.29002380371094, -1.128548502922058, 14.99864673614502, 13.070612907409668, 5.230838775634766, 0.8144824504852295, 0.2538033723831177, -3.6387851238250732, 6.525629997253418, 6.113631725311279, 0.9459344148635864, 9.864306449890137, 194.34576416015625, 63.82121276855469, 27.009319305419922, 17.197479248046875, 17.72522735595703, 14.003374099731445, 13.983312606811523, 14.699897766113281, 17.6848087310791, 8.70062255859375, 8.44007682800293, 11.23984146118164, 10.582803726196289, 0.5564764142036438, 0.6166608333587646, 0.733509361743927, 0.7837399840354919, 0.7330518364906311, 0.6699110865592957, 0.7097116708755493, 0.7038920521736145, 0.6675902605056763, 0.6751874089241028, 0.6604148149490356, 0.5881914496421814, 0.29726889729499817, 0.3318728804588318, 0.32044506072998047, 0.30286917090415955, 0.36141860485076904, 0.4061090350151062, 0.39212891459465027, 0.38434773683547974, 0.37740358710289, 0.321264386177063, 0.2786693274974823, 0.2666788399219513, 783.9832649061213, 767.6536983212377, 1351.669921875, 1814.9982102637491, 0.021023995535714286, 0.028693729292334585]"
processed_ravdess\03-01-03-02-02-01-15.wav,3,"[-341.720703125, 63.71908950805664, -7.0920515060424805, 17.818220138549805, 16.69574737548828, -1.445536494255066, 2.6275694370269775, 3.372415781021118, -3.819681406021118, 6.032169818878174, 3.466949462890625, 4.825601577758789, 3.3506839275360107, 183.2750244140625, 63.27075958251953, 39.56805419921875, 19.92015266418457, 16.60194206237793, 24.43040657043457, 12.738677978515625, 14.696228981018066, 18.058055877685547, 10.341962814331055, 13.1676025390625, 9.01212215423584, 9.014654159545898, 0.5561001300811768, 0.567429780960083, 0.6261744499206543, 0.6840308308601379, 0.7034966945648193, 0.7194902300834656, 0.6994919776916504, 0.7086064219474792, 0.6592333912849426, 0.5789839029312134, 0.5618626475334167, 0.5442191958427429, 0.29697391390800476, 0.3379795551300049, 0.3540036678314209, 0.3548414409160614, 0.35396772623062134, 0.37053239345550537, 0.37029197812080383, 0.35967856645584106, 0.34689152240753174, 0.3431326448917389, 0.3254757523536682, 0.2746313214302063, 1178.29217569314, 1407.6689555895757, 2022.2172434737042, 2556.6007973020332, 0.043462985899390245, 0.06736518330556397]"
processed_ravdess\03-01-03-01-01-01-15.wav,3,"[-391.58685302734375, 78.39627838134766, -4.26311731338501, 20.100515365600586, 17.392635345458984, 0.8949586749076843, 4.764279842376709, 5.031736850738525, -1.314261555671692, 5.8528361320495605, 6.670162200927734, 5.970777988433838, 5.2982378005981445, 181.68417358398438, 67.0347671508789, 31.8767147064209, 17.556116104125977, 17.865751266479492, 20.07581901550293, 13.213312149047852, 13.280332565307617, 17.020627975463867, 8.179163932800293, 11.757038116455078, 9.84344482421875, 8.675222396850586, 0.6506868600845337, 0.6983804702758789, 0.7221015095710754, 0.7756418585777283, 0.7561984062194824, 0.7666061520576477, 0.7402415871620178, 0.7164732813835144, 0.6653837561607361, 0.6505868434906006, 0.6021232604980469, 0.6199188232421875, 0.25548994541168213, 0.30973830819129944, 0.324880987405777, 0.33527612686157227, 0.34995073080062866, 0.3607223331928253, 0.352886825799942, 0.34832125902175903, 0.3306536376476288, 0.3154059052467346, 0.276400625705719, 0.23226547241210938, 569.8504789434171, 681.6354728829373, 1138.6962890625, 1572.4195560899352, 0.00834064094387755, 0.015357340540419588]"
processed_ravdess\03-01-03-01-02-01-09.wav,3,"[-359.1184387207031, 74.72398376464844, 10.254117965698242, 19.60868263244629, 21.184627532958984, 9.033248901367188, -0.16123588383197784, -0.1464034467935562, 0.8824245929718018, 7.475362300872803, -2.064389228820801, 4.813519477844238, 3.812063455581665, 182.9888458251953, 71.1368637084961, 23.386756896972656, 21.648677825927734, 14.75265884399414, 16.326194763183594, 13.800627708435059, 13.052668571472168, 12.366496086120605, 8.192964553833008, 12.630741119384766, 7.71280574798584, 7.8857741355896, 0.5850107669830322, 0.6216148734092712, 0.6377837657928467, 0.6485601663589478, 0.6814347505569458, 0.6783212423324585, 0.6694621443748474, 0.7234401702880859, 0.7062965631484985, 0.7053567171096802, 0.6560778617858887, 0.5702603459358215, 0.31113874912261963, 0.3382294774055481, 0.36536118388175964, 0.391345739364624, 0.390323668718338, 0.3957568407058716, 0.40275588631629944, 0.37613654136657715, 0.3285832405090332, 0.3064236640930176, 0.2886924147605896, 0.2701930105686188, 1032.0741394629276, 1162.6278292010454, 1582.3139750874127, 2189.9311525869953, 0.034299196896853144, 0.07630486559812538]"
processed_ravdess\03-01-03-01-02-01-02.wav,3,"[-388.5368347167969, 51.679664611816406, -13.541147232055664, 12.721325874328613, -0.8398525714874268, 0.3736784756183624, -1.936722993850708, -7.945832252502441, 1.8602006435394287, 3.2595009803771973, -1.470778465270996, 4.401096820831299, -3.3173933029174805, 179.31175231933594, 58.19549560546875, 44.86293029785156, 19.23570442199707, 20.800382614135742, 16.193357467651367, 17.33203125, 18.431617736816406, 11.893208503723145, 9.802786827087402, 10.014650344848633, 10.273503303527832, 14.236456871032715, 0.5685866475105286, 0.6008428335189819, 0.636154055595398, 0.643659234046936, 0.6142144799232483, 0.6885039210319519, 0.6942728757858276, 0.6990354657173157, 0.6712753176689148, 0.5760748386383057, 0.5155307650566101, 0.5144296288490295, 0.31926292181015015, 0.36997953057289124, 0.38815829157829285, 0.4038776457309723, 0.43335577845573425, 0.4183276891708374, 0.38100025057792664, 0.38351672887802124, 0.37281015515327454, 0.3706338405609131, 0.3431054949760437, 0.3068709373474121, 981.0157143071319, 1271.670951816506, 1831.3791099501534, 2364.7358439059494, 0.02019027990797546, 0.029523094019661106]"
processed_ravdess\03-01-03-02-01-02-14.wav,3,"[-353.5046691894531, 27.406883239746094, -23.85240936279297, 7.904809474945068, -7.300690174102783, -10.261560440063477, 1.1976851224899292, -9.81595516204834, 4.402936935424805, -0.7085450887680054, -1.7993777990341187, 8.077757835388184, -2.3772764205932617, 172.70790100097656, 33.25221633911133, 41.34968948364258, 28.27715492248535, 25.377729415893555, 21.324918746948242, 18.90327262878418, 20.874479293823242, 12.236879348754883, 11.682214736938477, 11.423235893249512, 10.281461715698242, 17.265657424926758, 0.5631819367408752, 0.581372857093811, 0.5929195284843445, 0.6425420045852661, 0.654068112373352, 0.6643696427345276, 0.7054291367530823, 0.756362795829773, 0.7156842350959778, 0.6216935515403748, 0.6101288199424744, 0.5431349873542786, 0.33185020089149475, 0.3580177128314972, 0.3902749717235565, 0.38843777775764465, 0.39796531200408936, 0.40559452772140503, 0.3927290737628937, 0.3317164182662964, 0.34511086344718933, 0.3445565402507782, 0.311784952878952, 0.2788679003715515, 1229.4521803944292, 1203.259927536172, 2429.707668138587, 2413.6727415830646, 0.028556871118012424, 0.040910175571772026]"
processed_ravdess\03-01-03-02-01-01-05.wav,3,"[-317.7688903808594, 58.143943786621094, 7.372547149658203, 11.484039306640625, 1.1312175989151, 2.046509027481079, -2.234123945236206, -0.7627031803131104, -6.336979389190674, -3.633141279220581, 5.800074577331543, -1.800283432006836, -0.9437162280082703, 154.60650634765625, 61.14744186401367, 21.11654281616211, 20.462350845336914, 22.762332916259766, 19.346044540405273, 18.792055130004883, 11.76144027709961, 16.152090072631836, 14.121492385864258, 7.847616672515869, 13.155961990356445, 9.39291000366211, 0.5353379249572754, 0.6099317669868469, 0.6161402463912964, 0.5776599049568176, 0.5944280624389648, 0.6046639680862427, 0.5922995805740356, 0.5983133912086487, 0.5748465061187744, 0.5328506231307983, 0.5190942287445068, 0.5103422403335571, 0.33008426427841187, 0.3595046401023865, 0.3846077620983124, 0.4137435555458069, 0.4344075918197632, 0.4259348213672638, 0.4234621822834015, 0.4078413248062134, 0.3764747381210327, 0.34763291478157043, 0.333120197057724, 0.3178696036338806, 1261.4167395540223, 1372.2672715993644, 2139.9071720059355, 2663.394050541368, 0.03230294168994413, 0.05384099193374814]"
processed_ravdess\03-01-03-02-02-01-18.wav,3,"[-357.7774963378906, 26.01797103881836, -25.786317825317383, 4.044589996337891, 1.3356353044509888, -5.977389335632324, -4.996833801269531, -3.886216163635254, -5.960923194885254, 9.06701374053955, 0.1185423955321312, -1.0047438144683838, 9.107661247253418, 169.34800720214844, 32.489479064941406, 43.32160568237305, 23.949214935302734, 22.427181243896484, 19.062976837158203, 17.070207595825195, 13.084001541137695, 18.965524673461914, 9.100481986999512, 11.575593948364258, 13.982573509216309, 15.660490036010742, 0.5676048398017883, 0.5960168838500977, 0.6040211915969849, 0.6192575693130493, 0.6405503153800964, 0.6665048599243164, 0.6465057730674744, 0.6822922825813293, 0.6941877007484436, 0.6489195227622986, 0.5905177593231201, 0.5502325296401978, 0.3542119860649109, 0.3909173905849457, 0.414470911026001, 0.43889179825782776, 0.42498528957366943, 0.42391663789749146, 0.4144381880760193, 0.3735359013080597, 0.3374912440776825, 0.31418377161026, 0.3050958514213562, 0.32263416051864624, 1096.6219437124394, 1205.4225732941093, 2041.757183425997, 2449.875487037707, 0.024117499041411042, 0.036152296217943275]"
