epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.969,1.66879,1.78443,1.19791,0.78266,0.71087,0.76075,0.38031,1.51714,1.59959,1.2252,0.000663704,0.000663704,0.000663704
2,776.497,1.63981,1.2382,1.17546,0.74668,0.63,0.68203,0.36996,1.59063,1.62028,1.25691,0.00130403,0.00130403,0.00130403
3,1159.55,1.62481,1.11665,1.16629,0.79492,0.63783,0.72353,0.37755,1.61395,1.36665,1.29517,0.00191795,0.00191795,0.00191795
4,1549.09,1.57352,1.03081,1.14298,0.87077,0.76167,0.84061,0.45048,1.5466,1.14979,1.24791,0.0018812,0.0018812,0.0018812
5,1936.47,1.55733,0.9721,1.13215,0.80885,0.74565,0.81502,0.45168,1.45557,1.14006,1.20852,0.0018416,0.0018416,0.0018416
6,2333.62,1.51204,0.92007,1.11254,0.8434,0.67783,0.75363,0.41186,1.61345,1.25703,1.30773,0.001802,0.001802,0.001802
7,2734.51,1.48859,0.8899,1.0987,0.89231,0.82,0.88984,0.51636,1.30803,0.92133,1.09483,0.0017624,0.0017624,0.0017624
8,3132.71,1.46906,0.86561,1.08864,0.906,0.83174,0.9057,0.53871,1.27175,0.75806,1.0608,0.0017228,0.0017228,0.0017228
9,3528.26,1.4614,0.84619,1.08904,0.9103,0.83043,0.89477,0.53209,1.28103,0.81888,1.07006,0.0016832,0.0016832,0.0016832
10,3925.05,1.44354,0.81896,1.0815,0.91327,0.84087,0.91584,0.54977,1.23762,0.6882,1.04557,0.0016436,0.0016436,0.0016436
11,4325.12,1.41776,0.79348,1.06934,0.9118,0.85217,0.916,0.5626,1.20503,0.66086,1.03394,0.001604,0.001604,0.001604
12,4716.21,1.41734,0.78812,1.0692,0.92969,0.83935,0.91896,0.56104,1.21063,0.66718,1.03734,0.0015644,0.0015644,0.0015644
13,5126.22,1.40785,0.77711,1.06353,0.91222,0.81304,0.88274,0.52116,1.31794,0.86621,1.11272,0.0015248,0.0015248,0.0015248
14,5536.72,1.38148,0.75535,1.05206,0.92363,0.83086,0.90551,0.54793,1.25657,0.71766,1.06327,0.0014852,0.0014852,0.0014852
15,5944,1.36624,0.73698,1.04253,0.92285,0.88391,0.94005,0.58164,1.19147,0.59093,1.02271,0.0014456,0.0014456,0.0014456
16,6348.09,1.35478,0.73097,1.04365,0.92622,0.8624,0.93386,0.57179,1.18544,0.62194,1.02661,0.001406,0.001406,0.001406
17,6756.04,1.35144,0.72464,1.04476,0.91918,0.87032,0.93152,0.58259,1.15778,0.60791,1.01066,0.0013664,0.0013664,0.0013664
18,7164.48,1.34219,0.71014,1.03605,0.92622,0.86242,0.92815,0.57334,1.18261,0.62334,1.02004,0.0013268,0.0013268,0.0013268
19,7574.3,1.32886,0.70612,1.03585,0.93974,0.86791,0.9418,0.59234,1.14088,0.58124,1.0005,0.0012872,0.0012872,0.0012872
20,7980.04,1.31366,0.68642,1.0243,0.93608,0.8713,0.93959,0.59195,1.15126,0.56307,1.00196,0.0012476,0.0012476,0.0012476
21,8379.7,1.31844,0.69128,1.02194,0.95036,0.87304,0.9454,0.58844,1.14,0.57946,0.99904,0.001208,0.001208,0.001208
22,8777.6,1.30417,0.68097,1.01819,0.94501,0.8713,0.94606,0.59759,1.12234,0.5523,0.98027,0.0011684,0.0011684,0.0011684
23,9175.84,1.30098,0.67297,1.01775,0.93959,0.87239,0.9414,0.60376,1.11509,0.53835,0.98816,0.0011288,0.0011288,0.0011288
24,9574.81,1.27579,0.65364,1.00746,0.92944,0.88776,0.94511,0.60025,1.11058,0.53525,0.98748,0.0010892,0.0010892,0.0010892
25,9974.16,1.27501,0.65343,1.0138,0.94033,0.89758,0.95054,0.60664,1.10602,0.53718,0.97868,0.0010496,0.0010496,0.0010496
26,10371.7,1.27433,0.64543,1.01336,0.92962,0.90522,0.95477,0.60705,1.11972,0.53229,0.98387,0.00101,0.00101,0.00101
27,10770.8,1.26672,0.64308,1.00325,0.93691,0.91038,0.95478,0.62159,1.05645,0.50432,0.96327,0.0009704,0.0009704,0.0009704
28,11170.3,1.25861,0.63895,1.0047,0.941,0.89783,0.95137,0.61145,1.09084,0.5256,0.98101,0.0009308,0.0009308,0.0009308
29,11569.5,1.2489,0.63321,1.00069,0.94524,0.89316,0.95567,0.61837,1.0779,0.50411,0.97113,0.0008912,0.0008912,0.0008912
30,11967.9,1.24236,0.62477,0.99727,0.96324,0.89261,0.95723,0.62829,1.05824,0.50025,0.96645,0.0008516,0.0008516,0.0008516
31,12367.2,1.2492,0.62432,0.9966,0.94529,0.91043,0.95892,0.62465,1.06343,0.49517,0.96367,0.000812,0.000812,0.000812
32,12742.8,1.21561,0.6086,0.99053,0.95866,0.89,0.95965,0.63331,1.03327,0.47885,0.95201,0.0007724,0.0007724,0.0007724
33,13107.6,1.22595,0.60307,0.98903,0.9511,0.90261,0.96156,0.63652,1.03969,0.47648,0.95193,0.0007328,0.0007328,0.0007328
34,13471.2,1.21418,0.60073,0.98456,0.9445,0.90435,0.9599,0.63385,1.04717,0.48779,0.95689,0.0006932,0.0006932,0.0006932
35,13837.5,1.21273,0.59514,0.98328,0.94272,0.91587,0.95995,0.62887,1.03468,0.48489,0.95018,0.0006536,0.0006536,0.0006536
36,14203.6,1.19257,0.5867,0.97934,0.94651,0.90783,0.9621,0.63808,1.02861,0.47215,0.94865,0.000614,0.000614,0.000614
37,14571.2,1.19567,0.5798,0.97889,0.94378,0.91959,0.96421,0.63452,1.02946,0.46861,0.95191,0.0005744,0.0005744,0.0005744
38,14940.8,1.19006,0.57754,0.97818,0.94485,0.90878,0.96106,0.63749,1.03219,0.4723,0.94767,0.0005348,0.0005348,0.0005348
39,15305.1,1.18352,0.5731,0.97797,0.95311,0.90913,0.96258,0.64444,1.00258,0.45573,0.94114,0.0004952,0.0004952,0.0004952
40,15670.7,1.17156,0.56742,0.97431,0.95291,0.91348,0.96464,0.6417,1.00822,0.46222,0.94577,0.0004556,0.0004556,0.0004556
41,16029.2,1.17412,0.55069,0.97729,0.96112,0.90478,0.96485,0.64937,1.00667,0.45511,0.94241,0.000416,0.000416,0.000416
42,16387.9,1.15732,0.5412,0.96958,0.96329,0.91268,0.96721,0.64697,1.01219,0.45185,0.9479,0.0003764,0.0003764,0.0003764
43,16747,1.14466,0.53448,0.96869,0.93739,0.92174,0.9644,0.64234,1.03216,0.46481,0.95327,0.0003368,0.0003368,0.0003368
44,17105.8,1.13434,0.52717,0.96479,0.94402,0.92,0.96803,0.64998,1.01347,0.44428,0.9467,0.0002972,0.0002972,0.0002972
45,17462.3,1.12989,0.52097,0.96111,0.94616,0.92454,0.96886,0.65463,1.00345,0.44366,0.94187,0.0002576,0.0002576,0.0002576
46,17818.2,1.13184,0.51718,0.96057,0.94466,0.92765,0.96914,0.65476,0.9931,0.43644,0.93409,0.000218,0.000218,0.000218
47,18170.1,1.11502,0.50887,0.95592,0.95134,0.92645,0.96955,0.65896,0.98566,0.43206,0.93499,0.0001784,0.0001784,0.0001784
48,18522.1,1.11421,0.50627,0.95547,0.9543,0.92478,0.97204,0.65963,0.983,0.42983,0.93357,0.0001388,0.0001388,0.0001388
49,18873.9,1.09752,0.50004,0.94758,0.95162,0.9287,0.97236,0.66119,0.98428,0.4287,0.93373,9.92e-05,9.92e-05,9.92e-05
50,19226,1.0917,0.49335,0.9521,0.95209,0.92445,0.97142,0.6639,0.97825,0.42621,0.93179,5.96e-05,5.96e-05,5.96e-05
