image_path,calories,protein,carbs,fat
../food-101/train\apple_pie\1005649.jpg,312.78,1.72,43.6,11.95
../food-101/train\apple_pie\1014775.jpg,287.68,1.98,36.69,15.01
../food-101/train\apple_pie\1026328.jpg,299.37,1.99,46.45,13.38
../food-101/train\apple_pie\1028787.jpg,284.33,1.92,43.45,13.06
../food-101/train\apple_pie\1043283.jpg,318.64,1.73,40.58,13.55
../food-101/train\apple_pie\1050519.jpg,278.42,1.81,34.16,15.08
../food-101/train\apple_pie\1057749.jpg,317.19,1.93,48.69,15.66
../food-101/train\apple_pie\1057810.jpg,305.65,2.3,46.35,14.32
../food-101/train\apple_pie\1072416.jpg,275.07,2.25,49.11,13.56
../food-101/train\apple_pie\1074856.jpg,275.55,1.77,37.48,14.75
../food-101/train\apple_pie\1074942.jpg,302.59,2.22,46.06,12.4
../food-101/train\apple_pie\1076891.jpg,290.44,1.91,43.23,15.91
../food-101/train\apple_pie\1077610.jpg,279.96,1.99,37.89,14.56
../food-101/train\apple_pie\1077964.jpg,311.8,1.76,34.51,12.47
../food-101/train\apple_pie\1088809.jpg,303.81,2.23,47.33,15.41
../food-101/train\apple_pie\1097378.jpg,294.65,2.0,43.41,13.76
../food-101/train\apple_pie\1103795.jpg,314.32,1.88,49.78,11.91
../food-101/train\apple_pie\1109597.jpg,306.7,1.84,40.44,13.06
../food-101/train\apple_pie\1111062.jpg,311.63,1.77,35.34,12.53
../food-101/train\apple_pie\1112300.jpg,313.2,2.1,34.61,15.07
../food-101/train\apple_pie\1112838.jpg,307.97,1.84,47.6,13.67
../food-101/train\apple_pie\1121884.jpg,270.1,2.19,37.6,12.75
../food-101/train\apple_pie\112378.jpg,294.5,2.19,47.12,14.16
../food-101/train\apple_pie\1133267.jpg,314.47,1.7,41.58,12.78
../food-101/train\apple_pie\1142597.jpg,292.24,1.8,36.01,12.08
../food-101/train\apple_pie\1147371.jpg,273.27,1.82,42.74,15.7
../food-101/train\apple_pie\1154371.jpg,286.39,2.12,46.68,15.35
../food-101/train\apple_pie\1158360.jpg,315.78,1.76,36.6,14.47
../food-101/train\apple_pie\1159801.jpg,268.44,1.78,49.15,13.41
../food-101/train\apple_pie\1165004.jpg,274.29,2.12,42.81,14.77
../food-101/train\apple_pie\1166116.jpg,286.19,2.04,35.69,13.29
../food-101/train\apple_pie\1166210.jpg,297.13,2.09,47.94,15.42
../food-101/train\apple_pie\116697.jpg,311.81,2.3,33.91,14.88
../food-101/train\apple_pie\1174241.jpg,303.55,1.89,39.95,15.98
../food-101/train\apple_pie\1174949.jpg,306.83,2.22,36.56,13.67
../food-101/train\apple_pie\1177254.jpg,309.11,2.27,37.4,14.99
../food-101/train\apple_pie\118237.jpg,276.41,2.09,42.5,14.9
../food-101/train\apple_pie\1184568.jpg,308.84,2.13,44.63,12.0
../food-101/train\apple_pie\1185445.jpg,300.26,1.76,35.23,13.02
../food-101/train\apple_pie\1185654.jpg,274.87,2.28,38.71,14.02
../food-101/train\apple_pie\1191665.jpg,271.32,1.99,45.59,12.38
../food-101/train\apple_pie\1196628.jpg,269.73,2.04,46.0,13.53
../food-101/train\apple_pie\1199851.jpg,318.46,1.74,38.42,13.93
../food-101/train\apple_pie\1200079.jpg,325.53,2.21,37.53,14.13
../food-101/train\apple_pie\1214326.jpg,278.51,2.03,42.97,15.9
../food-101/train\apple_pie\1215650.jpg,288.71,1.95,34.33,12.97
../food-101/train\apple_pie\1218767.jpg,294.13,2.25,38.72,12.12
../food-101/train\apple_pie\1220194.jpg,305.59,2.14,38.5,12.78
../food-101/train\apple_pie\1230465.jpg,298.96,2.0,41.29,11.94
../food-101/train\apple_pie\1232311.jpg,281.37,1.82,35.07,14.61
../food-101/train\apple_pie\123782.jpg,309.09,2.08,33.78,14.54
../food-101/train\apple_pie\1239205.jpg,273.3,1.71,44.48,12.41
../food-101/train\apple_pie\1240585.jpg,287.49,2.21,38.55,13.24
../food-101/train\apple_pie\1246460.jpg,284.63,1.73,43.64,14.84
../food-101/train\apple_pie\1246552.jpg,298.04,1.9,41.23,12.77
../food-101/train\apple_pie\1252879.jpg,268.89,2.13,38.94,14.71
../food-101/train\apple_pie\1264435.jpg,320.86,2.22,42.34,12.67
../food-101/train\apple_pie\1265307.jpg,291.35,2.19,36.66,15.15
../food-101/train\apple_pie\1272778.jpg,325.2,2.07,48.36,15.82
../food-101/train\apple_pie\127721.jpg,320.39,2.26,42.22,13.19
../food-101/train\apple_pie\1280767.jpg,306.34,1.94,35.82,12.59
../food-101/train\apple_pie\128259.jpg,308.55,2.03,34.12,15.53
../food-101/train\apple_pie\1284682.jpg,305.83,1.96,40.32,12.57
../food-101/train\apple_pie\1289014.jpg,273.94,2.23,40.01,14.25
../food-101/train\apple_pie\1290425.jpg,299.64,1.72,41.15,14.82
../food-101/train\apple_pie\1305678.jpg,278.86,2.22,41.04,15.85
../food-101/train\apple_pie\1322211.jpg,302.55,1.96,38.12,15.44
../food-101/train\apple_pie\1323309.jpg,266.79,1.72,35.03,15.5
../food-101/train\apple_pie\1335563.jpg,317.01,1.89,36.97,15.76
../food-101/train\apple_pie\134.jpg,300.22,1.79,46.72,14.04
../food-101/train\apple_pie\1340287.jpg,314.55,1.88,43.67,12.27
../food-101/train\apple_pie\1343307.jpg,305.28,1.74,41.51,12.55
../food-101/train\apple_pie\1344873.jpg,306.33,1.88,38.9,12.14
../food-101/train\apple_pie\1346262.jpg,276.38,1.98,39.82,15.16
../food-101/train\apple_pie\1348788.jpg,310.23,2.1,35.26,14.02
../food-101/train\apple_pie\1350394.jpg,307.42,1.76,46.06,13.55
../food-101/train\apple_pie\1354215.jpg,304.78,2.11,35.55,15.22
../food-101/train\apple_pie\1355206.jpg,291.98,2.08,35.99,12.74
../food-101/train\apple_pie\1357950.jpg,323.77,1.79,38.54,15.99
../food-101/train\apple_pie\1361950.jpg,277.76,2.12,35.58,14.44
../food-101/train\apple_pie\136256.jpg,295.03,1.78,48.79,13.32
../food-101/train\apple_pie\1376013.jpg,269.28,2.18,43.25,14.59
../food-101/train\apple_pie\1379062.jpg,287.04,1.89,47.66,16.06
../food-101/train\apple_pie\1391393.jpg,271.08,2.16,42.07,15.58
../food-101/train\apple_pie\1392703.jpg,318.33,2.14,42.4,14.21
../food-101/train\apple_pie\1397313.jpg,314.96,2.24,39.58,15.64
../food-101/train\apple_pie\1399051.jpg,298.91,2.11,38.97,16.08
../food-101/train\apple_pie\1406371.jpg,304.79,2.28,40.04,12.44
../food-101/train\apple_pie\1410907.jpg,320.64,1.89,46.16,14.67
../food-101/train\apple_pie\1416578.jpg,285.45,2.18,46.75,13.27
../food-101/train\apple_pie\1420227.jpg,320.52,1.71,41.22,13.86
../food-101/train\apple_pie\1421796.jpg,273.8,1.75,46.47,12.57
../food-101/train\apple_pie\142332.jpg,275.51,2.28,49.72,12.47
../food-101/train\apple_pie\1428585.jpg,280.09,1.81,42.63,14.11
../food-101/train\apple_pie\1442421.jpg,278.33,1.8,47.37,13.41
../food-101/train\apple_pie\1443243.jpg,277.87,2.11,50.3,12.29
../food-101/train\apple_pie\1445323.jpg,295.3,2.29,38.21,15.71
../food-101/train\apple_pie\1447062.jpg,284.29,2.24,50.1,13.16
../food-101/train\apple_pie\1448488.jpg,285.55,1.79,50.19,14.54
